id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0608202,"Numerical simulations of a non-commutative theory: the scalar model on
  the fuzzy sphere",0.0001494169424672,2.7492237378831444e-06,89.0,3.0
hep-th/0701144,Electric-magnetic Duality and Deformations of Three-Dimensional CFT's,5.307920025698458e-05,0.0,46.0,0.0
cond-mat/0411386,"Linear Algebra with Disordered Sparse Matrices that have Spatial
  Structure: Theory and Computation",4.373614806490423e-05,0.0,46.0,0.0
cond-mat/0703075,Incomplete pure dephasing of N-qubit entangled W states,4.1898608679540206e-05,3.980365510320144e-06,4.0,2.0
cond-mat/0109126,Replica treatment of non-Hermitian disordered Hamiltonians,4.17905961596307e-05,0.0,5.0,0.0
cond-mat/0703005,Phase-space theory for dispersive detectors of superconducting qubits,4.130040039038486e-05,2.4753516855224776e-09,6.0,1.0
hep-th/0610157,Quantum Hall Effect on the Flag Manifold F_2,4.061451679208856e-05,0.0,26.0,0.0
cond-mat/0512586,Entanglement Entropy dynamics in Heisenberg chains,3.759645744280023e-05,8.191952116440294e-06,49.0,4.0
cond-mat/0603341,"Functional Renormalization-Group Analysis of Luttinger Liquids with
  Impurities",3.732525928998634e-05,0.0,47.0,0.0
cond-mat/0403388,Full counting statistics of a chaotic cavity with asymmetric leads,3.7141363458575854e-05,1.003136270557984e-06,31.0,2.0
hep-th/0606196,"Logarithmic extensions of minimal models: characters and modular
  transformations",3.663440109544448e-05,8.409073700616251e-07,33.0,1.0
quant-ph/0508144,Quantum measurement of a mesoscopic spin ensemble,3.61050168599526e-05,9.910764125709416e-05,30.0,10.0
cond-mat/0611438,Quantum Description of Nuclear Spin Cooling in a Quantum Dot,3.522902282457686e-05,4.0051190271753685e-06,27.0,1.0
cond-mat/0405512,Current noise in a vibrating quantum dot array,3.379155604932098e-05,1.775088471869987e-05,31.0,5.0
hep-th/0503040,"Infinite-dimensional representations of the rotation group and Dirac's
  monopole problem",3.346501018852585e-05,2.704794259531393e-07,23.0,1.0
hep-th/0411254,"Lorentz Symmetry Breaking and Planar Effects from Non-Linear
  Electrodynamics",3.284429717091955e-05,0.0,10.0,0.0
quant-ph/0610078,"Effective Quantum Dynamics of Interacting Systems with Inhomogeneous
  Coupling",3.2426036225202184e-05,2.014936272015297e-06,4.0,1.0
cond-mat/0505086,Collective Chaos Induced by Structures of Complex Networks,3.229393606028533e-05,3.955859528633472e-06,6.0,2.0
hep-th/0611282,"Modular Symmetry and Fractional Charges in N=2 Supersymmetric Yang-Mills
  and the Quantum Hall Effect",3.1791748884949124e-05,0.0,48.0,0.0
cond-mat/0612654,Diffusion Poles and the Anderson Transition,3.139855362288937e-05,0.0,8.0,0.0
hep-th/0703193,"U_e(1)xU_g(1) Actions in 2+1-Dimensions: Full Vectorial Electric and
  Magnetic Fields",3.1157451765030455e-05,6.149220941604018e-07,22.0,3.0
hep-th/0503034,"Nonassociativity, Dirac monopoles and Aharonov-Bohm effect",3.068271520554885e-05,0.0,12.0,1.0
cond-mat/0411190,Current and current fluctuations in quantum shuttles,3.0678128389060444e-05,0.0,24.0,0.0
