id,title,pagerank,betweenness,in_degree,out_degree
math/0409069,Some new directions in infinite-combinatorial topology,0.0001136406891165,0.0,17.0,2.0
math/0510162,Can a Borel group be generated by a Hurewicz subspace?,8.576233052549563e-05,0.0,6.0,1.0
math/0608107,Selection principles related to $\alpha_i$-properties,7.096287256446861e-05,0.0,2.0,1.0
math/0512275,SPM Bulletin 15,6.418619020133631e-05,0.0,20.0,1.0
math/9906113,On what I do not understand (and have something to say): Part I,4.667081502530567e-05,0.0,66.0,10.0
math/0312182,Selection principles in mathematics: A milestone of open problems,3.734613162876484e-05,0.0,22.0,3.0
math/0609401,SPM Bulletin 18,3.218687967824696e-05,0.0,16.0,0.0
math/0612753,SPM Bulletin 19,2.9801555030195183e-05,0.0,20.0,0.0
math/0503631,SPM Bulletin 12,2.4693422185878788e-05,0.0,8.0,1.0
math/0004119,On subgroups of minimal topological groups,1.977936190535238e-05,0.0,13.0,12.0
math/0105045,Selection principles and the minimal tower problem,1.7450821951281917e-05,0.0,7.0,10.0
math/0703894,SPM Bulletin 20,1.6904307543536695e-05,0.0,13.0,0.0
math/0509607,o-Boundedness of free objects over a Tychonoff space,1.669223000881577e-05,0.0,5.0,1.0
math/0606188,SPM Bulletin 17,1.559766268292156e-05,0.0,15.0,0.0
math/0403369,SPM Bulletin 8,1.4588742748148076e-05,0.0,10.0,2.0
math/0603290,SPM Bulletin 16,1.2406448397777616e-05,0.0,8.0,1.0
math/9712286,Constructing Boolean algebras for cardinal invariants,1.2366456168012169e-05,0.0,8.0,4.0
math/0602504,Jones-Wenzl idempotents For Rank 2 Simple Lie algebras,1.1512914143162196e-05,0.0,13.0,0.0
math/0509432,SPM Bulletin 14,1.0953851073287813e-05,0.0,9.0,1.0
math/0409072,SPM Bulletin 10,1.0666787437746446e-05,0.0,8.0,3.0
math/0510064,"Compactifications, Hartman functions and (weak) almost periodicity",1.01947907405935e-05,0.0,1.0,0.0
math/0401155,SPM Bulletin 7,9.035181302505892e-06,0.0,7.0,2.0
math/0508563,SPM Bulletin 13,8.066562848638946e-06,0.0,6.0,1.0
math/0406411,SPM Bulletin 9,8.038052317144938e-06,0.0,6.0,2.0
math/0312140,SPM Bulletin 6 (November 2003),7.90890347016792e-06,0.0,10.0,2.0
math/0608754,"Idempotent probability measures, I",7.568939049560406e-06,0.0,1.0,0.0
math/0502402,"Topological fundamental groups can distinguish spaces with isomorphic
  homotopy groups",7.333607195868112e-06,0.0,6.0,4.0
math/0512564,Forty-plus annotated questions about large topological groups,7.1854867664574034e-06,0.0,6.0,3.0
math/0502275,A monomorphism theorem for the inverse limit of nested retracts,6.955069201903685e-06,0.0,6.0,3.0
math/0312456,Problems from Topology Proceedings,6.8879487497615735e-06,0.0,6.0,1.0
math/0502148,The Hawaiian earring group is topologically incomplete,6.848582683837126e-06,0.0,5.0,4.0
math/0602574,Characterization and topological rigidity of Nobeling manifolds,6.581413570009763e-06,0.0,3.0,3.0
math/0010070,Measured creatures,6.514158655245872e-06,0.0,6.0,2.0
math/0408207,Boundedness in generalized \v{S}erstnev PN spaces,6.355472688138928e-06,0.0,2.0,2.0
math/0607297,On a theorem of Brion,6.30040846437696e-06,0.0,3.0,2.0
math/0509402,The isometry group of the Urysohn space as a Levy group,6.214520943850809e-06,0.0,5.0,4.0
math/0506212,Energy of Twisted Harmonic Maps of Riemann Surfaces,5.723112372672539e-06,0.0,6.0,2.0
math/0511490,Mathematical table turning revisited,5.655144290770314e-06,0.0,1.0,1.0
math/0411343,General self-similarity: an overview,5.209308199805078e-06,0.0,2.0,1.0
math/0204144,Compactifications of topological groups,4.970459687487771e-06,0.0,5.0,4.0
math/0411344,A general theory of self-similarity I,4.966907238954575e-06,0.0,1.0,2.0
math/0612240,The spectrum of characters of ultrafilters on omega,4.896800629378824e-06,0.0,2.0,1.0
math/0305367,SPM Bulletin 5 (Special issue),4.821402077669939e-06,0.0,7.0,3.0
math/0309101,The Urysohn universal metric space is homeomorphic to a Hilbert space,4.4944748131088775e-06,0.0,4.0,3.0
math/0510484,A semifilter approach to selection principles II: tau*-covers,4.320075666508511e-06,0.0,6.0,1.0
math/0606252,Uniform structures and Berkovich spaces,4.302544690158471e-06,0.0,1.0,0.0
math/0205142,C*-algebras of infinite real rank,4.170906949305032e-06,0.0,1.0,0.0
math/9910144,Topological groups: where to from here?,4.086183779926135e-06,0.0,3.0,8.0
