source,target
cs/0107024,cs/9908003
cs/0107023,cs/9908003
cs/0007019,cs/9908003
cs/9907018,cs/0106032
cs/9908016,cs/0106032
cs/9809109,cs/9909001
cs/9908016,cs/9909001
cs/0106032,cs/9907018
cs/9908003,cs/0007019
cs/9910024,cs/9908005
cs/9910009,cs/9908005
cs/9908003,cs/0107023
cs/9908003,cs/0107024
cs/0007019,cs/0107024
cs/9908005,cs/9910009
cs/9907001,cs/0101006
cs/9809081,cs/0101006
cs/9911013,cs/0001019
cs/0412025,cs/0412046
cs/0304018,cs/0412046
cs/0101006,cs/0412046
cs/0212007,cs/0412046
cs/9907001,cs/0412046
cs/9809081,cs/0412046
cs/0212046,cs/0304018
cs/0101006,cs/0304018
cs/0212007,cs/0304018
cs/9809081,cs/0304018
cs/0702155,cs/0703147
cs/0409057,cs/0511084
cs/0212050,cs/0304023
cs/9809037,cs/9912013
cs/0101006,cs/0212007
cs/9809081,cs/0212007
cs/0410044,cs/0512073
cs/0412046,cs/0412025
math/0109195,cs/0312056
math/0109195,math/0204252
cs/0406020,math/0510263
cs/0703147,cs/0703153
cs/0609141,cs/0701045
cs/0603093,cs/0701096
cs/0510024,cs/0607094
cs/0406020,cs/0607094
math/0510263,cs/0607094
cs/0507049,cs/0604034
cs/0602080,cs/0604034
cs/0106032,cs/0604022
cs/0304023,cs/0412095
math/0109195,cs/0407033
cs/0312056,cs/0307023
math/0204252,cs/0307023
cs/0605029,cs/0307023
cs/9809037,cs/0307027
cs/9912013,cs/0307027
cs/0212050,cs/0307042
cs/9907018,cs/0304025
cs/0106032,cs/0304025
cs/9908003,cs/0110054
cs/0107023,cs/0110054
cs/9809109,cs/0108020
cs/9809037,cs/0009024
cs/9912013,cs/0009024
cs/9911013,cs/0007021
cs/0001019,cs/0007021
cs/9910024,cs/0007042
cs/9910009,cs/0007042
cs/9908005,cs/0007042
