id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0702245,Magnetic strings as part of Yang-Mills plasma,5.010159513664301e-05,0.0,28.0,0.0
astro-ph/0602092,Do extragalactic cosmic rays induce cycles in fossil diversity?,1.5808809605568053e-05,0.0,7.0,0.0
physics/0612173,"Observable effects caused by vacuum pair creation in the field of
  high-power optical lasers",1.5332020402683864e-05,0.0,2.0,0.0
astro-ph/0205286,MHD Turbulence: Scaling Laws and Astrophysical Implications,1.353522274472162e-05,5.765923004238475e-05,14.0,21.0
nucl-th/0512066,"Fusion reactions in plasmas as probe of the high-momentum tail of
  particle distributions",1.1669974167414258e-05,0.0,5.0,0.0
quant-ph/0501059,Star clusters dynamics in a laboratory: electrons in an ultracold plasma,1.0605812393060847e-05,0.0,8.0,0.0
hep-ph/0611228,Magnetic component of Yang-Mills plasma,1.0261216287767312e-05,3.5335301211944e-06,6.0,2.0
astro-ph/0211031,The Properties of Compressible MHD and Cosmic Ray Transport,1.0080846169862348e-05,4.549750827551517e-06,9.0,6.0
cond-mat/0008208,Effective attraction between like-charged colloids in a 2D plasma,9.457124726835416e-06,0.0,9.0,1.0
nlin/0404043,Statistical Theory of Magnetohydrodynamic Turbulence: Recent Results,9.32872681152936e-06,0.0,3.0,0.0
astro-ph/0703542,"Kinetic Effects on Turbulence Driven by the Magnetorotational
  Instability in Black Hole Accretion",9.186669610890924e-06,1.990182755160072e-06,4.0,1.0
physics/0606251,Multipole Moments of Fractal Distribution of Charges,9.16038888556529e-06,0.0,11.0,0.0
astro-ph/0301062,"Compressible Magnetohydrodynamic Turbulence: mode coupling, scaling
  relations, anisotropy, new regime and astrophysical implications",8.797142057766043e-06,3.980365510320144e-06,7.0,6.0
astro-ph/0703572,Electron Heating in Hot Accretion Flows,8.423438802073987e-06,0.0,1.0,0.0
physics/0509199,The high-temperature phase transition in a plasma,8.227498748535016e-06,0.0,4.0,1.0
cond-mat/0601409,"Comment on ""Entropy of Classical Systems with Long-Range Interactions""
  by T.M. Rocha Filho et al, PRL 95, 190601 (2005)",7.663118707763445e-06,3.980365510320144e-06,6.0,2.0
math-ph/0503027,"Relativistic particle, fluid and plasma mechanics coupled to gravity",7.479423954049739e-06,0.0,4.0,0.0
physics/0508109,Diffusion correction to the avalanche--to--streamer transition,7.312279364864352e-06,0.0,2.0,2.0
physics/0409157,"Physics of high-intensity high-energy particle beam propagation in open
  air and outer-space plasmas",7.094058141897761e-06,0.0,2.0,1.0
cond-mat/0506560,Enhancement of pairing due to the presence of resonant cavities,7.092778058392024e-06,0.0,3.0,0.0
physics/0410102,The frequency of electron-ion collisions in a hot plasma,7.022258364941149e-06,2.985274132740108e-06,4.0,2.0
physics/0511109,Efficient Plasma Heating by Radiofrequency,6.870920032807433e-06,0.0,3.0,0.0
astro-ph/0012148,"Magnetic field effects on the thermonuclear combustion front of
  Chandrasekhar mass white dwarfs",6.854182557489971e-06,0.0,6.0,0.0
astro-ph/0610345,Physical problems (microphysics) in relativistic plasma flows,6.556868113542531e-06,0.0,3.0,0.0
astro-ph/0511430,"Nuclear astrophysical plasmas: ion distribution functions and fusion
  rates",6.411821520845588e-06,0.0,7.0,1.0
physics/0503197,The origin of transport barriers in toroidal plasmas,6.310599355875796e-06,0.0,2.0,2.0
physics/0404087,Radiation-induced solitary waves in hot plasmas,6.236968209340305e-06,6.965639643060252e-06,4.0,5.0
nucl-th/0701002,What Do Electromagnetic Plasmas Tell Us about Quark-Gluon Plasma?,5.944206877891104e-06,6.705300811060963e-07,5.0,1.0
physics/0110018,"Stationary flows in quantum dissipative closed circuits as a challenge
  to thermodynamics",5.94288334792467e-06,0.0,5.0,1.0
physics/0410114,"Pulsations of the electron-positron plasma in the field of optical
  lasers",5.807996790345262e-06,3.9833359323427705e-06,3.0,2.0
physics/0507114,The physics of antimatter induced fusion and thermonuclear explosions,5.764725382250753e-06,0.0,3.0,4.0
nucl-th/0010028,"""Colliding beam"" enhancement mechanism of deuteron-deuteron fusion
  reactions in matter",5.655144290770314e-06,0.0,1.0,1.0
nucl-th/0010027,"A boost to low energy nuclear reactions from preliminary elastic
  collisions (Carambole collisions)",5.655144290770314e-06,0.0,1.0,1.0
physics/0604023,The multiscale nature of streamers,5.655144290770314e-06,0.0,2.0,1.0
physics/0608304,"Quantum chaos? Genericity and nongenericity in the MHD spectrum of
  nonaxisymmetric toroidal plasmas",5.555103665062591e-06,0.0,3.0,0.0
astro-ph/0205282,Compressible Sub-Alfvenic MHD turbulence in Low-beta Plasmas,5.220711219127985e-06,1.990182755160072e-06,2.0,2.0
astro-ph/0010373,Magnetic Helicity Conservation and Astrophysical Dynamos,5.190976186782972e-06,0.0,5.0,4.0
physics/0311051,"Magnetic Field Structure and Stochastic Reconnection in a Partially
  Ionized Gas",5.170891787727112e-06,0.0,3.0,0.0
cond-mat/0609399,"On the non-Boltzmannian nature of quasi-stationary states in long-range
  interacting systems",4.817442064187723e-06,0.0,1.0,0.0
