id,title,pagerank,betweenness,in_degree,out_degree
patt-sol/9905002,Two-color multistep cascading and parametric soliton-induced waveguides,1.2520039875220534e-05,0.0,3.0,1.0
hep-lat/9704005,How to Count Kinks: From the Continuum to the Lattice and Back,1.014503992254937e-05,0.0,6.0,4.0
patt-sol/9909001,Approximate solutions and scaling transformations for quadratic solitons,7.462671345737005e-06,0.0,1.0,1.0
cond-mat/9909354,Shock-Like Dynamics of Inelastic Gases,6.0080455888999e-06,0.0,5.0,1.0
patt-sol/9709003,"Uses of Envelopes for Global and Asymptotic Analysis; geometrical
  meaning of renormalization group equation",5.975106542765397e-06,3.316971258600132e-06,6.0,3.0
hep-th/9809140,Soliton-preserving boundary condition in affine Toda field theories,5.576700744404097e-06,0.0,16.0,4.0
cond-mat/9803251,Traffic Equations and Granular Convection,5.51549775841196e-06,0.0,5.0,0.0
patt-sol/9907004,Dynamics of localized structures in vector waves,5.378793218963158e-06,0.0,8.0,0.0
hep-th/9905088,"Renormalization-group Method for Reduction of Evolution Equations;
  invariant manifolds and envelopes",4.538658191442589e-06,3.25739325460633e-05,10.0,4.0
cond-mat/9802084,The Viscous Nonlinear Dynamics of Twist and Writhe,4.443183316657033e-06,0.0,1.0,0.0
cond-mat/9809203,"Stationary states of the Gross-Pitaevskii equation with linear
  counterpart",4.4041482607769605e-06,0.0,4.0,0.0
patt-sol/9708002,Nature of Roll to Spiral-Defect-Chaos Transition,4.228724830047504e-06,0.0,3.0,0.0
cond-mat/9807307,"Avalanche mixing of granular solids in a rotating 2D drum and discrete
  mapping",4.199458373837573e-06,0.0,3.0,0.0
cond-mat/9708169,Propagation of a Topological Transition: the Rayleigh Instability,4.199458373837573e-06,0.0,3.0,0.0
patt-sol/9909002,"Long-Lived Localized Field Configurations in Small Lattices: Application
  to Oscillons",3.919245269513613e-06,0.0,4.0,6.0
hep-th/9708080,The Dynamics of Classical Chiral $QCD_{2}$ Currents,3.670919484292037e-06,0.0,3.0,2.0
hep-th/9505166,"A Geometrical Formulation of the Renormalization Group Method for Global
  Analysis",3.649388203764792e-06,0.0,1.0,5.0
solv-int/9902010,"Lax Pair Formulation and Multi-soliton Solution of the Integrable Vector
  Nonlinear Schrodinger Equation",3.639501128747021e-06,0.0,5.0,2.0
physics/9809018,Formation of Patterns and Coherent Structures in Charged Particle Beams,3.62335329328243e-06,0.0,2.0,0.0
cond-mat/9702029,Patterns and Long Range Correlations in Idealized Granular Flows,3.62335329328243e-06,0.0,2.0,3.0
cond-mat/9904294,Overdamped sine-Gordon kink in a thermal bath,3.5324768517048674e-06,0.0,1.0,0.0
patt-sol/9904006,The moment method in general Nonlinear Schrodinger Equations,3.5022623774415745e-06,5.569541292425575e-08,4.0,8.0
patt-sol/9704006,Spiral Dynamics in Pattern-Forming Systems: Mean Flow Effects,3.49912997646896e-06,0.0,2.0,0.0
patt-sol/9606006,"Multiple-Time Higher-Order Perturbation Analysis of the Regularized
  Long-Wavelength Equation",3.49912997646896e-06,0.0,2.0,0.0
patt-sol/9905005,"Discrete breathers in systems with homogeneous potentials - analytic
  solutions",3.3749066596554898e-06,0.0,1.0,0.0
patt-sol/9912003,Dipole-Mode Vector Solitons,3.2612468042382832e-06,0.0,3.0,0.0
patt-sol/9908002,Bifurcation Phenomena in Optimal Velocity Model for Traffic Flows,3.1564676950366884e-06,0.0,2.0,3.0
patt-sol/9708004,"Amplitude equations for coupled electrostatic waves in the limit of weak
  instability",3.0472482127272877e-06,0.0,2.0,0.0
cond-mat/9709204,"Localization and Equipartition of Energy in the beta-FPU Chain : Chaotic
  Breathers",3.0472482127272877e-06,0.0,2.0,2.0
patt-sol/9810005,Controlled Dynamics of Interfaces in a Vibrated Granular Layer,2.9851365543205523e-06,0.0,2.0,0.0
patt-sol/9909005,"Multi-Bunch Solutions of Differential-Difference Equation for Traffic
  Flow",2.7421054941407385e-06,0.0,2.0,1.0
patt-sol/9611001,Vortex Dynamics in Dissipative Systems,2.5026770430984795e-06,0.0,2.0,0.0
solv-int/9901010,"Multi-soliton Solution of the Integrable Coupled Nonlinear Schrodinger
  Equation of Manakov Type",2.4781841822433672e-06,0.0,3.0,4.0
astro-ph/9806209,Stellar Oscillons,2.4711431321721443e-06,0.0,1.0,2.0
patt-sol/9801002,"Three basic issues concerning interface dynamics in nonequilibrium
  pattern formation",2.4711431321721443e-06,0.0,1.0,1.0
patt-sol/9911003,"Development and geometry of isotropic and directional shrinkage crack
  patterns",2.4711431321721443e-06,0.0,1.0,0.0
patt-sol/9908005,Longwave Interface Instability In Two-Fluid Vibrational Flow,2.4711431321721443e-06,0.0,1.0,0.0
hep-th/9711195,Towards a String Formulation of Vortex Dynamics,2.4711431321721443e-06,0.0,1.0,1.0
chao-dyn/9307010,"Dependence of extensive chaos on the spatial correlation length
  (substantial revision)",2.4711431321721443e-06,0.0,1.0,1.0
patt-sol/9902005,"Sources, sinks and wavenumber selection in coupled CGL equations and
  experimental implications for counter-propagating wave systems",2.4711431321721443e-06,0.0,1.0,5.0
cond-mat/9910274,The Dielectric Breakdown Model at Small $\eta$: Pole Dynamics,2.4711431321721443e-06,0.0,1.0,2.0
patt-sol/9901002,"Discrete Nonlinear Schr{\""o}dinger Breathers in a Phonon Bath",2.4711431321721443e-06,0.0,1.0,2.0
cond-mat/9804082,Fluctuations provide strong selection in Ostwald ripening,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9903336,Shear induced alignment in a model of a block copolymer,2.4711431321721443e-06,0.0,1.0,0.0
patt-sol/9710004,Nonlinear Competition Between Small and Large Hexagonal Patterns,2.4711431321721443e-06,0.0,1.0,0.0
patt-sol/9809001,Emergence of Order in Textured Patterns,2.4711431321721443e-06,0.0,1.0,0.0
